PC_Time_s,RPM,Signal
2.001732,0.00,
2.002846,0.00,
2.003393,0.00,
2.003945,0.00,
2.004492,0.00,
2.004901,0.00,
2.005407,0.00,
2.005962,0.00,
2.006515,0.00,
2.007059,0.00,
2.007595,0.00,
2.008130,0.00,
2.008678,0.00,
2.009215,0.00,
2.009770,0.00,
2.010869,0.00,
2.010869,0.00,
2.011883,0.00,
2.011883,0.00,
2.012882,0.00,
2.013897,0.00,
2.013897,0.00,
2.013897,0.00,
2.014898,0.00,
2.014898,0.00,
2.014898,0.00,
2.015897,0.00,
2.015897,0.00,
2.016897,0.00,
2.016897,0.00,
2.016897,0.00,
2.017906,0.00,
2.017906,0.00,
2.018904,0.00,
2.018904,0.00,
2.019899,0.00,
2.019899,0.00,
2.020899,0.00,
2.020899,0.00,
2.021902,0.00,
2.022900,0.00,
2.022900,0.00,
2.023900,0.00,
2.023900,0.00,
2.024903,0.00,
2.025899,0.00,
2.025899,0.00,
2.026899,0.00,
2.026899,0.00,
2.026899,0.00,
2.028414,0.00,
2.028414,0.00,
2.029428,0.00,
2.029428,0.00,
2.030428,0.00,
2.030428,0.00,
2.031427,0.00,
2.032089,0.00,
2.032089,0.00,
2.032633,0.00,
2.033738,0.00,
2.034283,0.00,
2.035290,0.00,
2.036338,0.00,
2.036883,0.00,
2.037421,0.00,
2.037421,0.00,
2.037972,0.00,
2.038519,0.00,
2.038519,0.00,
2.039053,0.00,
2.039585,0.00,
2.039585,0.00,
2.040116,0.00,
2.040116,0.00,
2.040661,0.00,
2.041197,0.00,
2.041197,0.00,
2.041740,0.00,
2.041740,0.00,
2.042282,0.00,
2.042845,0.00,
2.042845,0.00,
2.042845,0.00,
2.043856,0.00,
2.044858,0.00,
2.044858,0.00,
2.045857,0.00,
2.046856,0.00,
2.046856,0.00,
2.047854,0.00,
2.047854,0.00,
2.047854,0.00,
2.048856,0.00,
2.048856,0.00,
2.049858,0.00,
2.050870,0.00,
2.051874,0.00,
2.052872,0.00,
2.052872,0.00,
2.053867,0.00,
2.054871,0.00,
2.099343,0.00,
2.099343,0.00,
2.115879,0.00,
2.156945,0.00,
2.157938,0.00,
2.187474,0.00,
2.188985,0.00,
2.219012,0.00,
2.239035,0.00,
2.273048,0.00,
2.274050,0.00,
2.305636,0.00,
2.305636,0.00,
2.336883,0.00,
2.369895,0.00,
2.370892,0.00,
2.400457,0.00,
2.401464,0.00,
2.432515,0.00,
2.461669,0.00,
2.462668,0.00,
2.492732,0.00,
2.522738,0.00,
2.523737,0.00,
2.552680,0.00,
2.595361,0.00,
2.596361,0.00,
2.626438,0.00,
2.627438,0.00,
2.655960,0.00,
2.678979,0.00,
2.712324,0.00,
2.713325,0.00,
2.746856,0.00,
2.746856,0.00,
2.772872,0.00,
2.808816,0.00,
2.808816,0.00,
2.838067,0.00,
2.880622,0.00,
2.885144,0.00,
2.886144,0.00,
2.932196,0.00,
2.932196,0.00,
2.958706,0.00,
2.990786,0.00,
2.991796,0.00,
3.020834,0.00,
3.021813,0.00,
3.053597,0.00,
3.087543,0.00,
3.088544,0.00,
3.117588,0.00,
3.157639,0.00,
3.158639,0.00,
3.188197,0.00,
3.189202,0.00,
3.219783,0.00,
3.248845,0.00,
3.249851,0.00,
3.278852,0.00,
3.309906,0.00,
3.309906,0.00,
3.336466,0.00,
3.365458,0.00,
3.366460,0.00,
3.399021,0.00,
3.428139,0.00,
3.428139,0.00,
3.462653,0.00,
3.463652,0.00,
3.490194,0.00,
3.523723,0.00,
3.523723,0.00,
3.554442,0.00,
3.583963,0.00,
3.584678,0.00,
3.629241,0.00,
3.630251,0.00,
3.659769,0.00,
3.660773,0.00,
3.689824,0.00,
3.720000,0.00,
3.721003,0.00,
3.751520,0.00,
3.780528,0.00,
3.781542,0.00,
3.811922,0.00,
3.841757,0.00,
3.842740,0.00,
3.871745,0.00,
3.896304,0.00,
3.930828,0.00,
3.931840,0.00,
3.958839,0.00,
3.994147,0.00,
3.995155,0.00,
4.024163,0.00,
4.025161,0.00,
4.054677,0.00,
4.085686,0.00,
4.085686,0.00,
4.114746,0.00,
4.145786,0.00,
4.146789,0.00,
4.190003,0.00,
4.191004,0.00,
4.210532,0.00,
4.251705,0.00,
4.252673,0.00,
4.273669,0.00,
4.301709,0.00,
4.302709,0.00,
4.336791,0.00,
4.371921,0.00,
4.372920,0.00,
4.400385,0.00,
4.428417,0.00,
4.428417,0.00,
4.462939,0.00,
4.463941,0.00,
4.489955,0.00,
4.523535,0.00,
4.524506,0.00,
4.554022,0.00,
4.585031,0.00,
4.585031,0.00,
4.615116,0.00,
4.649983,0.00,
4.650984,0.00,
4.687998,0.00,
4.688990,0.00,
4.713032,0.00,
4.754587,0.00,
4.754587,0.00,
4.781601,0.00,
4.782601,0.00,
4.811653,0.00,
4.843181,0.00,
4.844181,0.00,
4.872190,0.00,
4.903448,0.00,
4.903448,0.00,
4.932541,0.00,
4.962517,0.00,
4.963520,0.00,
4.994083,0.00,
5.023432,0.00,
5.024434,0.00,
5.057957,0.00,
5.084513,0.00,
5.085488,0.00,
5.114786,0.00,
5.145849,0.00,
5.146852,0.00,
5.190856,0.00,
5.192365,0.00,
5.220974,0.00,
5.221973,0.00,
5.251526,0.00,
5.282515,0.00,
5.282515,0.00,
5.312155,0.00,
5.342875,0.00,
5.342875,0.00,
5.372890,0.00,
5.403393,0.00,
5.404361,0.00,
5.433909,0.00,
5.463907,0.00,
5.464883,0.00,
5.597709,0.00,
5.598708,0.00,
5.599217,0.00,
5.599217,0.00,
5.599217,0.00,
5.600225,0.00,
5.765102,0.00,
5.766106,0.00,
5.766106,0.00,
5.767101,0.00,
5.767101,0.00,
5.767101,0.00,
5.768312,0.00,
5.769311,0.00,
5.770310,0.00,
